city,land area,land,INTPTLAT,INTPTLONG
Commerce,8.321,21551350,33.240992,-95.898869
Como,1.104,2859669,33.059713,-95.475236
Concepcion,0.08,206362,27.395133,-98.355628
Conroe,75.857,196467541,30.328717,-95.4846
Converse,9.445,24462075,29.512488,-98.304625
Cool,1.648,4268043,32.798325,-98.012297
Coolidge,0.949,2459115,31.751448,-96.65222
Cooper,1.462,3785363,33.371987,-95.690702
Coppell,14.424,37358835,32.963306,-96.990556
Copperas Cove,18.028,46691838,31.119575,-97.914397
Copper Canyon,4.651,12045502,33.096676,-97.097127
Corinth,7.768,20120210,33.144714,-97.070766
Corpus Christi,166.43,431051350,27.754252,-97.173385
Corral,0.153,397172,33.098512,-97.230394
Corrigan,2.296,5947194,30.99881,-94.827488
Corsicana,22.985,59530636,32.082404,-96.4667
Cottonwood,1.444,3738761,32.451381,-96.400415
Cottonwood Shores,1.071,2772924,30.55501,-98.327564
Cotulla,2.01,5206974,28.436376,-99.236711
Coupland,1.927,4990293,30.456926,-97.392366
Cove,1.217,3152176,29.813932,-94.812187
Covington,0.821,2127632,32.179115,-97.260853
Coyanosa,0.215,558140,31.240978,-103.064828
Coyote Acres,5.127,13278088,27.713177,-98.134633
Coyote Flats,1.843,4774211,32.355885,-97.292352
Crandall,7.038,18227213,32.634506,-96.432064
Crane,1.054,2730718,31.391782,-102.350269
Cranfills Gap,0.726,1879863,31.774815,-97.832955
Crawford,1.441,3731950,31.537859,-97.446763
Creedmoor,7.615,19723268,30.073833,-97.737282
Cresson,11.551,29917268,32.529861,-97.615349
Crockett,8.85,22922509,31.317111,-95.456586
Crosby,2.227,5767093,29.915154,-95.057681
Crosbyton,2.111,5466242,33.641298,-101.23772
Cross Mountain,6.121,15852138,29.649165,-98.666344
Cross Plains,1.2,3108075,32.127068,-99.165775
Cross Roads,6.752,17487367,33.220449,-96.995808
Cross Timber,1.625,4208248,32.482868,-97.32674
Crowell,1.886,4883719,33.983561,-99.724374
Crowley,7.535,19514675,32.576468,-97.359308
Crystal,3.668,9500794,28.690681,-99.827103
Cuero,6.564,17000842,29.102727,-97.287092
Cuevitas,0.307,795700,26.256627,-98.577558
Cumby,0.961,2488548,33.13512,-95.838533
Cumings,1.821,4716506,29.585265,-95.795377
Cuney,1.643,4256280,32.037434,-95.414719
Cushing,1.373,3554956,31.811939,-94.841687
Cutand Shoot,2.711,7020239,30.335475,-95.345054
Daingerfield,2.455,6357754,33.030488,-94.72588
Daisetta,1.48,3833510,30.114693,-94.641633
Dalhart,4.782,12385534,36.057423,-102.512212
Dallas,339.685,879780727,32.793333,-96.766513
Dalworthington Gardens,1.788,4629955,32.686262,-97.155115
Damon,1.394,3610270,29.283237,-95.740772
Danbury,0.969,2510577,29.227417,-95.34617
Darrouzett,0.508,1316773,36.445296,-100.322912
Dawson,1.785,4623516,31.894596,-96.714699
Dayton,30.661,79410346,30.013177,-94.936004
Dayton Lakes,0.858,2221435,30.143605,-94.81582
Dean,2.129,5515117,33.916212,-98.40145
Deanville,0.228,590322,30.428385,-96.757581
Decatur,9.307,24106155,33.225922,-97.586986
De Cordova,1.409,3649312,32.429104,-97.693084
Deer Park,10.506,27209555,29.687279,-95.115897
Deerwood,0.57,1476695,30.315312,-95.301351
DeKalb,1.369,3545676,33.507351,-94.616534
De Leon,2.242,5805992,32.11135,-98.535156
Dell,1.667,4316790,31.934889,-105.199816
Del Mar Heights,0.437,1131188,26.056623,-97.423609
Delmita,3.119,8077113,26.68515,-98.423067
Del Rio,20.46,52991082,29.373045,-100.881851
Del Sol,0.858,2222515,28.01316,-97.520239
Denison,29.019,75157766,33.766936,-96.580667
Dennis,1.401,3629117,32.607895,-97.937633
Denton,96.948,251095179,33.217449,-97.141346
Denver,2.609,6757723,32.967871,-102.832225
Deport,1.112,2880569,33.529148,-95.317422
DeSoto,21.637,56038398,32.599349,-96.862941
Detroit,1.583,4100936,33.660217,-95.266425
Devers,1.86,4816573,30.028699,-94.585972
Devine,3.214,8323448,29.145834,-98.904985
Deweyville,11.195,28994982,30.299774,-93.772977
D'Hanis,2.628,6807615,29.329008,-99.268722
Diboll,4.976,12887828,31.188315,-94.782885
Dickens,0.958,2480196,33.621273,-100.836804
Dickinson,9.965,25809510,29.451717,-95.056238
Dilley,2.331,6036280,28.667517,-99.176465
DimeBox,0.719,1862516,30.354995,-96.823145
Dimmitt,3.15,8159403,34.547895,-102.306845
DISH,1.581,4095819,33.128665,-97.307872
Dodd,1.769,4582830,33.575673,-96.075543
Dodson,0.61,1579552,34.765375,-100.020419
Doffing,4.332,11218871,26.278794,-98.385575
Domino,0.452,1171225,33.264004,-94.110991
Donna,8.292,21476695,26.16105,-98.038929
Doolittle,4.168,10796289,26.359873,-98.116438
Dorchester,1.498,3880337,33.531277,-96.689098
Double Oak,2.446,6335230,33.06249,-97.107358
Double Horn,1.964,5086329,30.498258,-98.218497
Douglassville,6.326,16383304,33.191645,-94.35194
Driftwood,1.294,3350654,30.133072,-98.037292
Dripping Springs,8.815,22831228,30.195936,-98.093701
Driscoll,1.164,3013983,27.67302,-97.751039
Dublin,3.587,9291426,32.087765,-98.338865
Dumas,5.525,14310897,35.86202,-101.964972
Duncanville,11.202,29013995,32.64595,-96.91387
Eagle Lake,2.931,7591352,29.587326,-96.328579
Eagle Pass,9.448,24470138,28.712803,-100.484812
Early,3.726,9649327,31.742153,-98.936602
Earth,1.201,3111844,34.2338,-102.409176
East Alto Bonito,0.112,290684,26.302275,-98.635768
East Bernard,3.787,9807010,29.524377,-96.062974
East Columbia,0.626,1622229,29.140981,-95.605116
Eastland,4.384,11354637,32.402156,-98.817671
East Mountain,2.115,5479047,32.585825,-94.85798
Easton,2.445,6332307,32.381929,-94.591243
East Tawakoni,1.768,4580013,32.907624,-95.933131
Ector,1.174,3041889,33.579284,-96.273115
Edcouch,1.035,2679623,26.293723,-97.963091
Eden,2.379,6161907,31.216246,-99.843965
Edgecliff Village,1.191,3085850,32.656077,-97.340598
Edgewater Estates,0.051,130852,28.096882,-97.864972
Edgewood,1.44,3728730,32.69076,-95.882221
Edinburg,46.591,120669215,26.318285,-98.153449
Edmonson,0.428,1109494,34.279108,-101.896665
Edna,4.134,10707007,28.975125,-96.648464
Edom,2.508,6496740,32.374148,-95.609273
Edroy,2.209,5721759,27.9609,-97.675441
Eidson Road,7.041,18235455,28.671663,-100.482728
Elbert,6.016,15581689,33.274758,-99.002109
ElBrazil,0.181,468115,26.468651,-98.726828
El Camino Angosto,0.324,838944,26.111524,-97.643788
El Campo,9.221,23882105,29.200693,-96.272343
El Castillo,0.028,72044,26.334926,-98.638659
El Cenizo,0.03,76788,26.410571,-98.915845
E lCenizo,0.515,1334560,27.331677,-99.501281
El Chaparral,0.098,253706,26.348795,-98.767339
Eldorado,1.393,3607082,30.861728,-100.597926
Electra,3.093,8011014,34.032294,-98.920245
Elgin,7.184,18606261,30.354376,-97.391397
Elias-FelaSolis,0.236,611835,26.385431,-98.622012
